HS-6 code,품목명,국가
271019,기타,AU
870323,"실린더용량이 1,500시시 초과 3,000시시 이하인 것",AU
271012,경질유(輕質油)와 조제품,AU
870332,"실린더용량이 1,500시시 초과 2,500시시 이하인 것",AU
870340,"그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다)",AU
870380,그 밖의 차량(추진용 전동기만을 갖춘 것),AU
850710,피스톤식 엔진 시동용 연산(鉛酸)축전지,AU
870421,총중량이 5톤 이하인 것,AU
870324,"실린더용량이 3,000시시를 초과하는 것",AU
760612,알루미늄 합금으로 만든 것,AU
870322,"실린더용량이 1,000시시 초과 1,500시시 이하인 것",AU
860310,외부 전원으로 주행하는 것,AU
281512,수용액(소다액이나 액체 상태의 소다),AU
330499,기타,AU
710691,가공하지 않은 것,AU
481019,기타,AU
850760,리튬이온 축전지,AU
870321,"실린더용량이 1,000시시 이하인 것",AU
190230,그 밖의 파스타,AU
391810,염화비닐의 중합체로 만든 것,AU
401110,승용자동차용[스테이션왜건(station wagon)과 경주 자동차용을 포함한다],AU
870899,기타,AU
721049,기타,AU
843149,기타,AU
842952,360도 회전의 상부구조를 가진 기계,AU
721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,AU
300215,"면역물품(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)",AU
390120,폴리에틸렌(비중이 0.94 이상으로 한정한다),AU
382219,기타,AU
852589,기타,AU
720851,두께가 10밀리미터를 초과하는 것,AU
741110,정제한 구리로 만든 것,AU
854449,기타,AU
721633,에이치(H)형강,AU
854460,"그 밖의 전기도체(전압이 1,000볼트를 초과하는 것으로 한정한다)",AU
730661,횡단면이 정사각형이나 직사각형인 것,AU
841810,"일체형 냉장ㆍ냉동고(분리된 외부 문, 서랍이나 그 결합물을 갖춘 것으로 한정한다)",AU
401120,버스용ㆍ화물차용,AU
200899,기타,AU
842951,프론트엔드 셔블로더(front-end shovel loader),AU
790120,아연 합금,AU
271320,석유역청(瀝靑),AU
721310,압연공정에서 발생하는 톱니모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것,AU
310520,질소ㆍ인ㆍ칼륨을 함유한 광물성 비료나 화학비료,AU
852351,솔리드 스테이트(solid-state)의 비휘발성 기억장치,AU
390220,폴리이소부틸렌,AU
321410,"유리 접합용 퍼티(putty)ㆍ접목용 퍼티(putty)ㆍ수지시멘트ㆍ코킹(caulking)화합물과 그 밖의 매스틱(mastic), 도장용 충전제",AU
390690,기타,AU
390230,프로필렌 공중합체,AU
380893,제초제ㆍ발아억제제ㆍ식물성장조절제,AU
