HS-6 code,품목명,국가
854232,메모리,CN
854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],CN
852990,기타,CN
290243,파라-크실렌,CN
854239,기타,CN
284190,기타,CN
847330,제8471호에 해당하는 기계의 부분품과 부속품,CN
852412,유기발광다이오드(오엘이디)의 것,CN
330499,기타,CN
290220,벤젠,CN
852411,액정의 것,CN
848620,반도체 디바이스나 전자집적회로 제조용 기계와 기기,CN
903149,기타,CN
271012,경질유(輕質油)와 조제품,CN
853400,인쇄회로,CN
900120,편광재료(polarizing material)로 만든 판,CN
290121,에틸렌,CN
271019,기타,CN
848690,부분품과 부속품,CN
290122,프로펜(프로필렌),CN
852351,솔리드 스테이트(solid-state)의 비휘발성 기억장치,CN
851779,기타,CN
381800,"전자공업에 사용하기 위하여 도프처리된(doped) 화학원소(디스크ㆍ웨이퍼 모양이나 이와 유사한 모양으로 한정한다), 전자공업에 사용하기 위하여 도프처리된(doped) 화학화합물",CN
840810,선박추진용 엔진,CN
740311,음극과 음극의 형재,CN
390120,폴리에틸렌(비중이 0.94 이상으로 한정한다),CN
260300,구리광과 그 정광(精鑛),CN
760612,알루미늄 합금으로 만든 것,CN
390140,에틸렌-알파-올레핀 공중합체(비중이 0.94 미만으로 한정한다),CN
390690,기타,CN
848630,평판디스플레이 제조용 기계와 기기,CN
392062,폴리(에틸렌테레프탈레이트)로 만든 것,CN
391990,기타,CN
848640,이 류의 주 제11호다목에서 특정한 기계와 기기,CN
370790,기타,CN
847989,기타,CN
270730,크실롤(크실렌),CN
390210,폴리프로필렌,CN
853224,세라믹 유전체의 것(다층),CN
382499,기타,CN
390130,에틸렌-초산비닐 공중합체,CN
853890,기타,CN
852491,액정의 것,CN
271320,석유역청(瀝靑),CN
732690,기타,CN
854129,기타,CN
320730,액체 상태 러스터(lustre)와 이와 유사한 조제품,CN
390740,폴리카보네이트,CN
700600,"제7003호ㆍ제7004호ㆍ제7005호의 유리(구부린 것ㆍ가장자리 가공한 것ㆍ조각한 것ㆍ구멍을 뚫은 것ㆍ에나멜을 칠한 것이나 그 밖의 방법으로 가공한 것으로 한정하며, 프레임을 붙인 것이나 그 밖의 재료를 붙인 것은 제외한다)",CN
390110,폴리에틸렌(비중이 0.94 미만으로 한정한다),CN
