HS-6 code,품목명,국가
271012,경질유(輕質油)와 조제품,JP
271019,기타,JP
710691,가공하지 않은 것,JP
721049,기타,JP
330499,기타,JP
854232,메모리,JP
848690,부분품과 부속품,JP
720851,두께가 10밀리미터를 초과하는 것,JP
850760,리튬이온 축전지,JP
854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],JP
240411,담배나 재구성한 담배를 함유한 것,JP
720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,JP
852351,솔리드 스테이트(solid-state)의 비휘발성 기억장치,JP
843149,기타,JP
720916,두께가 1밀리미터 초과 3밀리미터 미만인 것,JP
840999,기타,JP
850710,피스톤식 엔진 시동용 연산(鉛酸)축전지,JP
121221,식용,JP
720827,두께가 3밀리미터 미만인 것,JP
732690,기타,JP
240220,궐련(담배를 함유한 것으로 한정한다),JP
870899,기타,JP
271320,석유역청(瀝靑),JP
848071,사출식이나 압축식,JP
851762,음성ㆍ영상이나 그 밖의 자료의 수신용ㆍ변환용ㆍ송신용ㆍ재생용 기기[교환기와 라우팅(routing)기기를 포함한다],JP
283324,황산니켈,JP
720839,두께가 3밀리미터 미만인 것,JP
390230,프로필렌 공중합체,JP
720826,두께가 3밀리미터 이상 4.75밀리미터 미만인 것,JP
852589,기타,JP
901890,그 밖의 기기,JP
330790,기타,JP
392062,폴리(에틸렌테레프탈레이트)로 만든 것,JP
852349,기타,JP
210690,기타,JP
720712,그 밖의 횡단면이 직사각형(정사각형은 제외한다)인 것,JP
880730,비행기ㆍ헬리콥터ㆍ무인기의 그 밖의 부분품,JP
290124,"1,3-부타디엔과 이소프렌",JP
854370,그 밖의 기기,JP
853710,"전압이 1,000볼트 이하인 것",JP
760612,알루미늄 합금으로 만든 것,JP
392690,기타,JP
030487,다랑어[터너스(Thunnus)속의 것으로 한정한다]ㆍ가다랑어(줄무늬 버니토)[카추워누스 펠라미스(Katsuwonus pelamis)],JP
730890,기타,JP
853400,인쇄회로,JP
330410,입술화장용 제품류,JP
900120,편광재료(polarizing material)로 만든 판,JP
200899,기타,JP
842121,물의 여과용이나 청정용,JP
300215,"면역물품(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)",JP
