HS-6 code,품목명,국가
870323,"실린더용량이 1,500시시 초과 3,000시시 이하인 것",US
870324,"실린더용량이 3,000시시를 초과하는 것",US
847330,제8471호에 해당하는 기계의 부분품과 부속품,US
870322,"실린더용량이 1,000시시 초과 1,500시시 이하인 것",US
870340,"그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다)",US
870380,그 밖의 차량(추진용 전동기만을 갖춘 것),US
271019,기타,US
852351,솔리드 스테이트(solid-state)의 비휘발성 기억장치,US
850760,리튬이온 축전지,US
870899,기타,US
847989,기타,US
841810,"일체형 냉장ㆍ냉동고(분리된 외부 문, 서랍이나 그 결합물을 갖춘 것으로 한정한다)",US
870829,기타,US
330499,기타,US
854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],US
382499,기타,US
870840,기어박스와 그 부분품,US
870360,"그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",US
290220,벤젠,US
870850,"차동장치를 갖춘 구동 차축(그 밖의 동력전달장치의 부분품과 구성품을 갖추었는지는 상관없다), 비구동 차축, 그 부분품",US
271012,경질유(輕質油)와 조제품,US
300215,"면역물품(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)",US
284190,기타,US
850710,피스톤식 엔진 시동용 연산(鉛酸)축전지,US
853710,"전압이 1,000볼트 이하인 것",US
840734,"실린더용량이 1,000시시를 초과하는 것",US
842720,그 밖의 자주식(自走式) 작업트럭,US
401110,승용자동차용[스테이션왜건(station wagon)과 경주 자동차용을 포함한다],US
760612,알루미늄 합금으로 만든 것,US
880730,비행기ㆍ헬리콥터ㆍ무인기의 그 밖의 부분품,US
848690,부분품과 부속품,US
854142,광전지(모듈에 조립되었거나 패널로 구성된 것은 제외한다),US
854370,그 밖의 기기,US
845129,기타,US
842890,그 밖의 기계,US
391810,염화비닐의 중합체로 만든 것,US
730629,기타,US
390740,폴리카보네이트,US
300214,"면역물품(혼합된 것에 한정하며, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)",US
850421,용량이 650킬로볼트암페어 이하인 것,US
840991,불꽃점화식 피스톤 내연기관에 전용되거나 주로 사용되는 것,US
290243,파라-크실렌,US
842952,360도 회전의 상부구조를 가진 기계,US
851220,그 밖의 조명용이나 시각 신호용 기구,US
852721,음성기록기기나 재생기기와 결합된 것,US
841911,가스식인 즉시식 물가열기,US
841112,추진력이 25킬로뉴턴을 초과하는 것,US
845020,1회의 세탁 능력이 건조한 섬유제품의 중량으로 10킬로그램을 초과하는 것,US
841430,냉장ㆍ냉동 설비용 압축기,US
730890,기타,US
