index,HS-6 code,HS-10 code,MTI-6 code,소분류 품목명
1,870323,8703231010,741160,신차
2,870323,8703231020,741160,중고차
3,870323,8703239010,741160,신차
4,870323,8703239020,741160,중고차
5,870324,8703241010,741160,신차
6,870324,8703241020,741160,중고차
7,870324,8703249010,741160,신차
8,870324,8703249020,741160,중고차
9,847330,8473301000,813690,자기헤드
10,847330,8473302000,813610,주기판(마이크로프로세서 유닛이 장착될 수 있도록 설계제작된 것으로 한정한다)
11,847330,8473303000,813690,컴퓨터 케이스
12,847330,8473304060,831110,디램 모듈
13,847330,8473304090,813690,기타
14,847330,8473309010,813690,컴퓨터용 중앙처리장치로서 제8542호에 분류되지 않는 것
15,847330,8473309090,813690,기타
16,870322,8703227000,741150,신차
17,870322,8703228000,741150,중고차
18,870340,8703401000,741910,신차
19,870340,8703402000,741910,중고차
20,870380,8703801000,741400,신차
21,870380,8703802000,741400,중고차
22,271019,2710191010,133310,제트 연료유
23,271019,2710191090,133900,기타
24,271019,2710192010,133320,등유
25,271019,2710192020,133310,제트 연료유
26,271019,2710192030,219000,노르말-파라핀(n-paraffin)
27,271019,2710192090,133900,기타
28,271019,2710193000,133200,경유
29,271019,2710194010,133510,경질(輕質)중유(벙커에이유)
30,271019,2710194020,133520,중유(벙커비유)
31,271019,2710194030,133530,벙커시유
32,271019,2710194090,133590,기타
33,271019,2710195010,133600,조유(粗油)
34,271019,2710195020,133600,윤활유 기유(基油)
35,271019,2710196000,133600,신전유(extender oil)
36,271019,2710197110,133600,항공기용 기관오일
37,271019,2710197120,133600,자동차용 기관오일
38,271019,2710197130,133600,선박용 기관오일
39,271019,2710197190,133600,기타
40,271019,2710197210,133600,실린더오일
41,271019,2710197220,133600,스핀들(spindle)오일
42,271019,2710197230,133600,기어오일
43,271019,2710197240,133600,터빈오일
44,271019,2710197250,133600,냉동기오일
45,271019,2710197310,133600,콤파운드오일
46,271019,2710197320,133600,유동파라핀
47,271019,2710197330,133600,자동변속기용 윤활유
48,271019,2710197410,133600,방청유(anti-corrosive oil)
49,271019,2710197420,133600,절삭유
50,271019,2710197430,133600,세척유
51,271019,2710197440,133600,주형이형유
52,271019,2710197450,133600,유압브레이크유
53,271019,2710197510,133600,프로세스유
54,271019,2710197520,133600,전기전열유
55,271019,2710197530,133600,열처리유
56,271019,2710197540,133600,열매체유
57,271019,2710197900,133600,기타
58,271019,2710198010,133600,알루미늄을 첨가한 것
59,271019,2710198020,133600,칼슘을 첨가한 것
60,271019,2710198030,133600,나트륨을 첨가한 것
61,271019,2710198040,133600,리튬을 첨가한 것
62,271019,2710198090,133600,기타
63,271019,2710199000,133600,기타
64,852351,8523511000,813800,기록이 안 된 매체
65,852351,8523512010,813700,컴퓨터 소프트웨어를 수록한 것
66,852351,8523512020,813700,비디오 녹화된 것
67,852351,8523512030,813700,음성만을 기록한 것
68,852351,8523512090,813700,기타
69,850760,8507601000,835220,리튬폴리머 축전지
70,850760,8507602000,835220,전기차용
71,850760,8507603000,835220,에너지 저장장치용
72,850760,8507609000,835220,기타
73,870899,8708991010,742000,제8701호의 것
74,870899,8708991020,742000,제8702호의 것
75,870899,8708991030,742000,제8703호의 것
76,870899,8708991040,742000,제8704호의 것
