날짜,제목,링크,분류,첨부파일
,,,,
,,,,
,,,,
,,,,
2024年10月3日,「輸出貿易管理令第４条第２項の規定に基づく経済産業大臣が告示で定める貨物」等の一部改正案に対する意見募集について(2024.11.1まで）,https://public-comment.e-gov.go.jp/pcm/detail?CLASSNAME=PCMMSTDETAIL&Mode=0&id=595124117,輸出,
2024年10月2日,10月2日より二号承認（輸入）を要するロシア産ダイヤモンドは「１カラット以上のもの」から「０．５カラット以上のもの」になります,/policy/external_economy/trade_control/03_import/21_russia/russia_diamond.html#section2,経済制裁,
2024年9月9日,10月1日より郵便料金が変わります。（PDF形式：195KB）,boekikanri/download/misc/2024/20240909_001_zz.pdf,その他,
2024年9月10日,輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物の一部を改正する件（PDF形式：77KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240910_pops_kokuji.pdf,輸出,
2024年9月9日,10月1日より郵便料金が変わります。（PDF形式：195KB）,boekikanri/download/misc/2024/20240909_001_zz.pdf,その他,
2024年9月3日,「化学物質の輸出承認について」等の一部改正について（PDF形式：210KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240903_pops_tsuutatsu.pdf,輸出入,
2024年9月2日,輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表の一部を改正する件（PDF形式：67KB）,boekikanri/download/import/2024/20240902_131_im.pdf,経済制裁,
2024年8月28日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：178KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/talibaan/20240828_talibanhoudou.pdf,経済制裁,
2024年8月22日,イエメン共和国における平和等を脅かす活動に関与した者等に対する資産凍結等の措置の対象者の削除について（PDF形式：230KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadYemen/20240822_press_yemen.pdf,経済制裁,
2024年8月5日,輸入貿易管理規則等の一部を改正する省令（PDF形式：69KB）,/policy/external_economy/trade_control/boekikanri/download/import/2024/20240805_050_yunyukisokutou.pdf,輸出入,
2024年7月23日,暴力的行為に関与するイスラエルの入植者に対する資産凍結等の措置について（PDF形式：93KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadisrael/20240723_israelhoudou.pdf,経済制裁,
2024年7月12日,ソマリアに対する武器禁輸措置等に違反した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：189KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadSomalia/20240712_somaliahoudou.pdf,経済制裁,
2024年6月28日,「経済産業省組織規則等の一部を改正する省令（抄）」（PDF形式：84KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240628_shorei.pdf,輸出入,
2024年6月26日,輸出貿易管理令の一部を改正する政令（PDF形式：36KB）,/policy/external_economy/trade_control/boekikanri/download/export/2024/20240626_yushutsureitou.pdf,経済制裁,
2024年6月21日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置について（輸出貿易管理令の一部を改正）（PDF形式：147KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadCrimea/20240621press_russia.pdf,経済制裁,
